"semantic_type_id","variant_id","node_label","version_added","version_deprecated","superseded_by","change_note","examples","match_kind","data_type","semantic_family","semantic_type","format_label","data_format","raw_to_stable_transform","stable_format","stable_import_rule","data_format_default_type","data_format_default_family","dd_data_unit","short_desc","detail","validation","default_storage","implemented"
"n0033","n0033-f01","TXT-POS-n0033-f01","v4","","","","4 COURT SQUARE, RICHMOND VA 23219","mask+lexicon","text","postal","full","full","{{ plain }}","{{ none }}","4 COURT SQUARE, RICHMOND VA 23219","{{ default:character }}","{{ none }}","{{ plain }}","","A full postal address.","A complete one-line mailing address.","min component presence ;; postal-code consistency","character","yes"
"n0034","n0034-f01","TXT-WEB-n0034-f01","v4","","","","www.pets.com ;; http://pets.com","mask","text","web","url","url","{{ url }}","{{ as_url }}","https://www.pets.com ;; https://pets.com","{{ default:character }}","{{ none }}","{{ url ;; domain ;; ipv4 ;; mac }}","","A URL.","A web address; as_url adds scheme, lowercases host, normalizes www, drops trailing slash.","valid URI syntax ;; allowed schemes","character","yes"
"n0035","n0035-f01","TXT-WEB-n0035-f01","v4","","","","Pets.com ;; www.example.org","mask","text","web","domain","domain","{{ domain }}","{{ as_url }}","pets.com ;; www.example.org","{{ default:character }}","{{ none }}","{{ url ;; domain ;; ipv4 ;; mac }}","","A domain / hostname.","A bare host name without scheme or path.","valid hostname ;; lowercase","character","no"
"n0036","n0036-f01","TXT-WEB-n0036-f01","v4","","","","192.168.0.1 ;; ::1","mask","text","web","ip","ip","{{ ipv4 ;; ipv6 }}","{{ none }}","192.168.0.1 ;; ::1","{{ default:character }}","{{ none }}","{{ url ;; domain ;; ipv4 ;; mac }}","","An IP address.","An IPv4 or IPv6 network address.","valid address pattern ;; canonical form","character","yes"
"n0037","n0037-f01","TXT-WEB-n0037-f01","v4","","","","01:23:45:67:89:ab","mask","text","web","mac","mac","{{ mac }}","{{ none }}","01:23:45:67:89:ab","{{ default:character }}","{{ none }}","{{ url ;; domain ;; ipv4 ;; mac }}","","A MAC address.","A hardware MAC address.","valid MAC pattern ;; canonical form","character","yes"
"n0038","n0038-f01","TXT-CON-n0038-f01","v4","","","","Jane@Example.ORG","mask","text","contact","email","email","{{ email }}","{{ as_email }}","jane@example.org","{{ default:character }}","{{ none }}","{{ email ;; E.164 }}","","An email address.","An RFC-style email address; as_email lowercases the domain.","email pattern ;; lowercase domain","character","yes"
"n0039","n0039-f01","TXT-CON-n0039-f01","v4","","","","(605) 348-9999 ;; +44 20 7946 0958","mask","text","contact","phone","phone","{{ national ;; E.164 }}","{{ as_phone }}","+16053489999 ;; +442079460958","{{ default:character }}","{{ none }}","{{ email ;; E.164 }}","","A phone number.","A telephone number; as_phone normalizes to E.164.","valid phone pattern ;; country-code consistency","character","yes"
"n0040","n0040-f01","TXT-COR-n0040-f01","v4","","","","#1A2B3C ;; 1a2b3c","mask","text","color","hex","hex","{{ hex }}","{{ as_hex }}","#1A2B3C ;; #1A2B3C","{{ default:character }}","{{ none }}","{{ hex ;; rgb ;; hsl ;; cmyk }}","","A hex color.","A #RRGGBB color; as_hex adds # and uppercases.","valid hex ;; 3 or 6 digits","character","yes"
"n0041","n0041-f01","TXT-COR-n0041-f01","v4","","","","rgb(255,0,0)","mask","text","color","rgb","rgb","{{ rgb }}","{{ none }}","rgb(255,0,0)","{{ default:character }}","{{ none }}","{{ hex ;; rgb ;; hsl ;; cmyk }}","","An RGB triple.","Red-green-blue channels 0-255.","channel range 0-255","character","yes"
"n0042","n0042-f01","TXT-COR-n0042-f01","v4","","","","hsl(0,100%,50%)","mask","text","color","hsl","hsl","{{ hsl }}","{{ none }}","hsl(0,100%,50%)","{{ default:character }}","{{ none }}","{{ hex ;; rgb ;; hsl ;; cmyk }}","","An HSL triple.","Hue-saturation-lightness.","valid hsl ranges","character","yes"
"n0043","n0043-f01","TXT-COR-n0043-f01","v4","","","","cmyk(0,1,1,0)","mask","text","color","cmyk","cmyk","{{ cmyk }}","{{ none }}","cmyk(0,1,1,0)","{{ default:character }}","{{ none }}","{{ hex ;; rgb ;; hsl ;; cmyk }}","","A CMYK quadruple.","Cyan-magenta-yellow-key 0-1.","channel range 0-1","character","yes"
"n0044","n0044-f01","CAT-MUT-n0044-f01","v4","","","","M ;; F ;; F","none","categorical","mutually_exclusive","unordered","unordered","{{ code }}","{{ as_factor }}","M ;; F ;; F","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","","An unordered (nominal) category.","Levels with no meaningful order; labels held in dd_f_levels.","allowed levels ;; unexpected-level check","factor","yes"
"n0045","n0045-f01","CAT-MUT-n0045-f01","v4","","","","1 ;; 2 ;; 3","none","categorical","mutually_exclusive","ordered","ordered","{{ code }}","{{ as_ordered }}","1 ;; 2 ;; 3","{{ as_ordered }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","","An ordered (ordinal) category without intervals.","Order carried by the order field in dd_f_levels.","order declared ;; monotonic coding","ordered factor","yes"
"n0046","n0046-f01","CAT-MUT-n0046-f01","v6","","","","France ;; FR","lexicon","categorical","mutually_exclusive","geographic","iso_country","{{ lexicon:iso3166 }}","lookup:iso3166","iso3166_alpha2","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","geographic level","A geographic grouping.","A geography used as a grouping variable; format defers to geographic tokens. Promoted to identifier.id.geographic when near-unique.","reference-list lookup ;; hierarchy consistency","factor","yes"
"n0046","n0046-f02","CAT-MUT-n0046-f02","v6","","","","California ;; CA","lexicon","categorical","mutually_exclusive","geographic","us_state","{{ lexicon:usps_state }}","lookup:usps","usps_state","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","geographic level","A geographic grouping.","A geography used as a grouping variable; format defers to geographic tokens. Promoted to identifier.id.geographic when near-unique.","reference-list lookup ;; hierarchy consistency","factor","yes"
"n0046","n0046-f03","CAT-MUT-n0046-f03","v6","","","","Chicago ;; Boston","lexicon","categorical","mutually_exclusive","geographic","us_city","{{ lexicon:us_city }}","lookup:place","place_name","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","geographic level","A geographic grouping.","A geography used as a grouping variable; format defers to geographic tokens. Promoted to identifier.id.geographic when near-unique.","reference-list lookup ;; hierarchy consistency","factor","yes"
"n0046","n0046-f04","CAT-MUT-n0046-f04","v6","","","","06037 ;; 6037","mask+lexicon","categorical","mutually_exclusive","geographic","county_fips","{{ mask:fips5 + lexicon:fips }}","zeropad5+validate","fips5","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","geographic level","A geographic grouping.","A geography used as a grouping variable; format defers to geographic tokens. Promoted to identifier.id.geographic when near-unique.","reference-list lookup ;; hierarchy consistency","factor","yes"
"n0047","n0047-f01","CAT-MUT-n0047-f01","v4","","","","5417 ;; 541511","mask+lexicon","categorical","mutually_exclusive","classification_code","classification_code","{{ class:naics }}","{{ as_factor }}","5417 ;; 541511","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","classification system & level","A classification-system code.","A code from a standard classification (NAICS, ICD); format = class:<system>.","valid code & vintage ;; parent-child consistency","factor","yes"
"n0048","n0048-f01","CAT-MUT-n0048-f01","v4","","","","Refused ;; N/A","none","categorical","mutually_exclusive","missingness_reason","missingness_reason","{{ label }}","{{ as_factor }}","Refused ;; Not applicable","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","missingness categories","A reason-for-missing code.","Categories explaining why a value is missing; kept separate from substantive values.","mutually exclusive ;; separate from substantive values","factor","no"
"n0049","n0049-f01","CAT-MUL-n0049-f01","v4","","","","Volunteer;Donor;Board","none","categorical","multiselect","tags","tags","{{ label [delim:;] }}","{{ none }}","Volunteer;Donor;Board","{{ as_list }}","{{ code ;; label }}","{{ label [delim:;] }}","","Zero or more levels per record.","A delimited set of members; member encoding plus [delim:x].","allowed member values ;; no duplicate members","list","no"
"n0050","n0050-f01","CAT-SCA-n0050-f01","v4","","","","1=Strongly disagree ;; 5=Strongly agree","none","categorical","scale","likert","likert","{{ code=label }}","{{ as_ordered }}","{{ as_ordered }} 1 ;; 5","{{ as_ordered }}","{{ code ;; label }}","{{ code ;; code=label }}","ordered response scale","A Likert agreement scale.","Symmetric agree-disagree scale; code split from label into dd_f_levels with order.","symmetric scale ;; reverse-coded items documented","ordered factor","no"
"n0051","n0051-f01","CAT-SCA-n0051-f01","v4","","","","4 ;; 5","none","categorical","scale","rating","rating","{{ code }}","{{ as_ordered }}","4 ;; 5","{{ as_ordered }}","{{ code ;; label }}","{{ code ;; code=label }}","ordered scale (1-5;;1-10)","A rating scale.","A bounded rating (stars, 1-10).","min & max ;; permitted increments","ordered factor","no"
"n0052","n0052-f01","CAT-SCA-n0052-f01","v4","","","","1 ;; 2 ;; 3","none","categorical","scale","ranking","ranking","{{ code }}","{{ as_integer }}","1 ;; 2 ;; 3","{{ as_integer }}","{{ code ;; label }}","{{ code ;; code=label }}","rank position","A ranking of options.","An ordering of choices by preference.","unique ranks where required ;; bounded by option count","integer","no"
"n0053","n0053-f01","CAT-SCA-n0053-f01","v4","","","","K ;; 12","none","categorical","scale","grade_level","grade_level","{{ code }}","{{ as_ordered }}","K ;; 12","{{ as_ordered }}","{{ code ;; label }}","{{ code ;; code=label }}","ordered levels (K-12)","An education grade level.","School grade (K-12); ordered with roughly interval spacing.","bounded range","ordered factor","no"
"n0054","n0054-f01","BOO-BIN-n0054-f01","v4","","","","1 ;; 0","mask","boolean","binary","indicator","indicator","{{ 10 }}","{{ as_boolean }}","TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","A 0/1 indicator flag.","A dummy variable marking presence of a condition.","exactly two states ;; distinguish missing from false","logical","no"
"n0055","n0055-f01","BOO-BIN-n0055-f01","v4","","","","x ;; (blank)","mask","boolean","binary","presence","presence","{{ check blank=false }}","{{ as_boolean }}","TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","A present/absent (checkbox) flag.","A checkbox where a mark is TRUE and blank is FALSE.","missingness distinct from absence","logical","no"
"n0056","n0056-f01","BOO-BIN-n0056-f01","v4","","","","active ;; inactive","mask","boolean","binary","status","status","{{ true=[active] false=[inactive] }}","{{ as_boolean }}","TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","An on/off status.","A two-state status via an explicit token set.","temporal consistency with status dates","logical","no"
"n0057","n0057-f01","BOO-BIN-n0057-f01","v4","","","","yes ;; no","mask","boolean","binary","response","response","{{ yn blank=na }}","{{ as_boolean }}","TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","A yes/no survey response.","A binary survey answer; refusal/missing kept separate.","two responses ;; missing handled separately","logical","no"
"n0058","n0058-f01","BOO-BIN-n0058-f01","v4","","","","yes ;; 0 ;; t ;; x ;; (blank)","mask","boolean","binary","mixed","mixed","{{ tf|yn|10|check blank=false }}","{{ as_boolean }}","TRUE ;; FALSE ;; TRUE ;; TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","A mixed-encoding boolean (e.g. IRS 990).","Multiple encodings in one column; presets unioned with | and blank=false.","exactly two states after normalize","logical","no"
"n0059","n0059-f01","TMP-DAT-n0059-f01","v4","","","","03/15/2019 ;; 3-15-2019","genome","temporal","date","calendar","calendar","{{ mmddyyyy }}","{{ as_mmddyyyy }}","2019-03-15 ;; 2019-03-15","{{ as_yyyymmdd }}","{{ yyyymmdd }} iso","{{ yyyymmdd ;; mmddyyyy ;; ddmmyyyy }}","","A calendar date.","A day-resolution date; stabilized to ISO yyyymmdd. Raw order/separator recorded in data_format.","valid calendar date ;; no impossible dates","Date","yes"
