"data_type","data_class","data_subclass","level","default_storage","data_format","data_unit","suggested_import_rule","validation","short_desc","detail","implemented","examples"
"number","proportion","probability","subclass","double","[0,1].*","","as_number","min 0 ;; max 1","A probability (0-1).","A likelihood bounded to the unit interval.","no","0.05 ;; 0.5"
"number","proportion","percentile","subclass","double","[0,100].*","percentile 0-100","as_number","min 0 ;; max 100 ;; population declared","A percentile position (0-100).","Rank against a reference population on 0-100.","no","90 ;; 50"
"number","range","","class","character","lo-hi","","","lower <= upper ;; unit consistency","A low-high numeric pair in one field.","Two numeric bounds in one cell; format shows the join (lo-hi, lo to hi).","no","10-20 ;; 1.5 to 3.0"
"number","range","confidence_interval","subclass","character","[lo,hi]","same unit as estimate","","confidence level declared","A confidence interval.","A low-high interval around an estimate, with a confidence level.","no","[1.2, 3.4]"
"number","coordinate","","class","double","epsg:4326","EPSG:4326","as_coord","within CRS bounds ;; CRS declared","A geographic coordinate.","A single-axis map coordinate in a declared CRS. A packed lat/lon pair is structured.geometry. CRS in dd_data_unit.","no","34.0522 ;; -118.2437"
"number","coordinate","lat","subclass","double","epsg:4326:lat","EPSG:4326","as_coord","in range -90..90","A latitude.","Decimal-degree latitude (WGS84 by default).","no","34.0522"
"number","coordinate","lon","subclass","double","epsg:4326:lon","EPSG:4326","as_coord","in range -180..180","A longitude.","Decimal-degree longitude (WGS84 by default).","no","-118.2437"
"text","","","type","character","plain","","","valid encoding ;; trim whitespace","Free-form character values.","The reader-level text family. Classes refine the semantic kind of string.","yes","hello ;; N/A"
"text","text","","class","character","plain","","","max length","General free text (default text class).","Unstructured string with no finer role.","no","see notes ;; misc"
"text","text","label","subclass","character","plain","","","normalize case","A short human label.","A brief descriptive label (not a controlled category).","no","North wing ;; Draft"
"text","text","title","subclass","character","plain","","","normalize capitalization ;; max length","A title or heading.","A work or section title.","no","Annual Report 2019"
"text","text","long","subclass","character","plain","","","preserve line breaks ;; flag control characters","Long free text.","Multi-sentence notes or descriptions.","no","The organization was founded in..."
"text","text","serialized","subclass","character","json;;xml;;delimited","","","valid syntax (promote to structured if parsed)","Serialized text (JSON/XML/delimited).","Structured data carried as a string.","no","{a:1} ;; a|b|c"
"text","name","","class","character","plain","","","trim ;; normalize repeated spaces ;; flag digits/invalid punctuation","A proper name.","A person, organization, place, or account name.","no","Jane Doe ;; Acme Inc"
"text","name","person","subclass","character","Last, First;;First Last","","","flag digits","A person's name.","An individual's name; format notes the ordering convention.","no","Doe, Jane ;; Jane Doe"
"text","name","organization","subclass","character","plain","","","normalize suffixes (Inc;;LLC)","An organization's name.","A legal or organization name.","yes","AMERICAN LEGION ;; ROTARY INTERNATIONAL"
"text","name","place","subclass","character","plain","","","reference-list lookup where categorical","A place / geographic name.","A named place as free text (a geographic code is categorical.geographic).","no","Springfield ;; Cook County"
"text","name","handle","subclass","character","handle:twitter","","as_handle","platform charset & length ;; unique where a key","A social / user handle.","An account handle on a platform. Name-like as an attribute; promote to identifier when it keys the account. Platform in the format namespace (handle:twitter); the @ is auto-stripped/restored.","no","@janedoe ;; janedoe"
"text","postal","","class","character","plain","","","min component presence ;; postal-code consistency ;; normalize street suffixes","A physical postal address.","A mailing address of a physical place. The physical counterpart to text.web (virtual addresses).","yes","4 COURT SQUARE ;; PO BOX 7002"
"text","postal","street","subclass","character","plain","","","street-suffix normalization","A street address line.","The street line of an address.","yes","5101 MONUMENT AVE"
"text","postal","po_box","subclass","character","plain","","","box-number present","A PO box.","A post-office box address.","yes","PO BOX 7002"
"text","postal","full","subclass","character","plain","","","min component presence ;; postal-code consistency","A full postal address.","A complete one-line or multi-part mailing address.","yes","4 COURT SQUARE, RICHMOND VA 23219"
"text","web","","class","character","url;;domain;;ipv4;;mac","","","pattern-valid ;; canonical form","A virtual / network address.","An address that locates a digital resource (URL, domain, IP, MAC). The digital parallel to a physical postal address.","no","https://pets.com ;; 192.168.0.1"
"text","web","url","subclass","character","url","","as_url","valid URI syntax ;; allowed schemes ;; add scheme if missing","A URL.","A web address; as_url canonicalizes (adds scheme, lowercases host, normalizes www, drops trailing slash).","yes","https://example.org ;; www.pets.com"
"text","web","domain","subclass","character","domain","","as_url","valid hostname ;; lowercase","A domain / hostname.","A bare host name without scheme or path.","no","pets.com ;; www.example.org"
"text","web","ip","subclass","character","ipv4;;ipv6","","","valid address pattern ;; canonical form","An IP address.","An IPv4 or IPv6 network address.","yes","192.168.0.1 ;; ::1"
"text","web","mac","subclass","character","mac","","","valid MAC pattern ;; canonical form","A MAC address.","A hardware MAC address.","yes","01:23:45:67:89:ab"
"text","contact","","class","character","email;;E.164","","","pattern-valid ;; trim whitespace","A channel to reach a person.","A way to contact someone (email, phone). Email straddles web and contact; kept here by role.","no","jane@x.org ;; 555-1234"
"text","contact","email","subclass","character","email","","as_email","email pattern ;; lowercase domain ;; optional uniqueness","An email address.","An RFC-style email address.","yes","jane@example.org"
"text","contact","phone","subclass","character","E.164;;national","","as_phone","valid phone pattern ;; country-code consistency","A phone number.","A telephone number; no single canonical form (user chooses stable representation).","yes","(202) 555-0143 ;; +44 20 7946 0958"
"text","color","","class","character","hex;;rgb;;hsl;;cmyk","","","valid color syntax ;; channel range check","A color value.","A color in some model; the model is carried in data_format, not a subclass.","yes","#1A2B3C ;; rgb(255,0,0)"
"categorical","","","type","factor","code;;label","","as_factor","allowed-values list ;; unexpected-level check ;; missing codes separated","A value from a discrete set of levels.","The categorical family. Format = the encoding shape (code / label / code=label); the level dictionary lives in dd_f_levels.","yes","A ;; B ;; C"
"categorical","mutually_exclusive","","class","factor","code;;label;;code=label","","as_factor","exactly one level per record ;; reference level declared","Exactly one level per record (default categorical class).","A standard single-select category.","yes","Male ;; Female ;; Nonbinary"
"categorical","mutually_exclusive","unordered","subclass","factor","code;;label","","as_factor","no inherent order","An unordered (nominal) category.","Levels with no meaningful order.","yes","Red ;; Blue ;; Green"
"categorical","mutually_exclusive","ordered","subclass","ordered factor","code;;label","","as_ordered","order declared ;; monotonic coding","An ordered (ordinal) category without intervals.","Order carried by the order field in dd_f_levels.","yes","Low ;; Medium ;; High"
"categorical","mutually_exclusive","geographic","subclass","factor","fips:county;;metro:cbsa;;usps:state","geographic level","as_factor","reference-list lookup ;; level declared ;; hierarchy consistency","A geographic grouping.","A geography used as a grouping variable. Format defers to the geographic tokens (fips:*, metro:*, usps:*). Promoted to identifier.id.geographic when near-unique.","yes","CA ;; 06037 ;; Cook County"
"categorical","mutually_exclusive","classification_code","subclass","factor","class:naics;;class:icd10","classification system & level","as_factor","valid code & vintage ;; parent-child consistency","A classification-system code.","A code from a standard classification. Format = class:<system> (naics, icd10, icd9, soc).","yes","5417 ;; J45"
"categorical","mutually_exclusive","missingness_reason","subclass","factor","code;;label","missingness categories","as_factor","mutually exclusive ;; separate from substantive values","A reason-for-missing code.","Categories explaining why a value is missing.","no","Refused ;; Not applicable"
"categorical","multiselect","","class","character","label delim=;;;code delim=|","","","allowed member values ;; delimiter declared ;; no duplicate members","Zero or more levels per record.","A multi-select delimited set. Member encoding (code/label) plus delim=<char>.","no","Volunteer;Donor ;; red|green"
"categorical","scale","","class","ordered factor","code;;code=label","","as_ordered","order declared ;; allowed values ;; reverse-coded documented","Ordered levels implying magnitude or interval.","An ordinal scale where distance/direction carries meaning.","no","1 ;; 2 ;; 3 ;; 4 ;; 5"
"categorical","scale","likert","subclass","ordered factor","code=label","ordered response scale","as_ordered","symmetric scale ;; reverse-coded items documented","A Likert agreement scale.","A symmetric agree-disagree response scale.","no","1=Strongly disagree ... 5=Strongly agree"
"categorical","scale","rating","subclass","ordered factor","code","ordered scale (1-5;;1-10)","as_ordered","min & max ;; permitted increments","A rating scale.","A bounded rating (stars, 1-10).","no","1 ;; 5 ;; 10"
"categorical","scale","ranking","subclass","integer","code","rank position","as_integer","unique ranks where required ;; bounded by option count","A ranking of options.","An ordering of choices by preference.","no","1 ;; 2 ;; 3"
"categorical","scale","grade_level","subclass","ordered factor","code;;label","ordered levels (K-12)","as_ordered","bounded range","An education grade level.","School grade (K-12); ordered with roughly interval spacing.","no","K ;; 1 ;; 12"
"boolean","","","type","logical","tf|yn|10","","as_boolean","exactly two valid states ;; distinguish missing from false","A two-state value.","The reader-level boolean family. Format = preset encodings unioned with | plus a blank= policy.","yes","TRUE ;; FALSE ;; 1 ;; 0"
"boolean","binary","","class","logical","tf|yn|10|check blank=na","","as_boolean","normalize case ;; two states only","A binary state (default boolean class).","A single two-valued flag. Case-insensitive, trimmed; blank= sets the missing policy.","yes","1 ;; 0 ;; yes ;; no"
"boolean","binary","indicator","subclass","logical","10","","as_boolean","1 marks the condition","A 0/1 indicator flag.","A dummy variable marking presence of a condition.","no","1 ;; 0"
"boolean","binary","presence","subclass","logical","check blank=false","","as_boolean","missingness distinct from absence","A present/absent flag.","A checkbox-style flag where blank means absent (false).","no","x ;; (blank)"
"boolean","binary","status","subclass","logical","true=[active,open] false=[inactive,closed]","","as_boolean","temporal consistency with status dates","An on/off status.","A two-state status via an explicit token set.","no","active ;; inactive"
"boolean","binary","response","subclass","logical","yn blank=na","","as_boolean","missing & refusal handled separately","A yes/no survey response.","A binary survey answer; refusal/missing kept separate.","no","yes ;; no"
"boolean","binary","eligibility","subclass","logical","yn|10","","as_boolean","rule-based consistency with criteria","An eligible / not-eligible flag.","Whether a unit meets eligibility criteria.","no","1 ;; 0"
"temporal","","","type","Date","see class formats","","","valid calendar/time value ;; declared parsing convention ;; range check","A point or span in time.","The reader-level temporal family. ISO-8601 is the canonical stable form for points.","yes","2019-03-15"
"temporal","date","","class","Date","yyyymmdd {iso};;mmddyyyy;;ddmmyyyy;;dMyyyy;;long;;hijri","","as_yyyymmdd","valid calendar date ;; no impossible dates","A calendar date (default temporal class).","A day-resolution date. Stabilized to ISO yyyymmdd; raw order/separator recorded in raw_data_format.","yes","2019-03-15 ;; 03/15/2019"
"temporal","date","timestamp","subclass","POSIXct","yyyymmddHHiiss;;rfc2822;;epoch","datetime;;timezone","as_datetime","timezone declared ;; DST handling","A date plus time of day.","A timestamp resolving to a moment.","yes","2019-03-15 14:30:00"
"temporal","time","","class","hms","HHii;;hhiiA","hour;;minute","as_clock","valid h/m/s ;; 12/24-hour convention","A time of day (no date).","A clock time with no calendar date.","yes","14:30 ;; 2:30 PM"
"temporal","period","","class","character","yyyy;;yyyyQq;;yyyy-mm","","as_period","valid period ;; convention declared ;; period range","A named calendar period.","A span longer than a day named as a unit. Grain selects the render graphic, so it stays operational.","no","2019 ;; 2019Q1 ;; 2019-03"
"temporal","period","year","subclass","integer","yyyy;;FYyyyy","calendar or fiscal year","as_yyyy","valid year range ;; fiscal/calendar convention declared","A year.","A calendar or fiscal year.","yes","2019 ;; FY2019"
"temporal","period","quarter","subclass","yearqtr","yyyyQq","calendar or fiscal quarter","as_quarter","valid quarter ;; convention declared","A quarter.","A calendar or fiscal quarter.","no","2019Q1"
"temporal","period","month","subclass","yearmon","yyyy-mm;;Myyyy;;yyyymm","calendar month","as_yyyymm","valid month ;; parsing convention declared","A calendar month.","A year-month period; drives the monthly calendar graphic.","yes","2019-03 ;; 201903"
"temporal","period","semester","subclass","character","plain","academic or fiscal semester","","valid semester ;; convention declared","A semester.","An academic or fiscal semester.","no","Fall 2019"
"temporal","period","season","subclass","character","plain","season span","","valid season ;; hemisphere convention","A season.","A named season span.","no","Winter 2019"
"temporal","period","reporting_period","subclass","character","range","fiscal or reporting period","","start <= end ;; overlap & gap checks","A reporting period.","A fiscal or reporting window with a start and end.","no","2019-07-01 to 2020-06-30"
"temporal","phase","","class","integer","plain","","","in valid range ;; convention declared","A cyclical position within a cycle.","A recurring position (hour within a day, weekday within a week).","no","3 ;; Mon"
"temporal","phase","hour_of_day","subclass","integer","H;;h","hour position 0-23","as_integer","in range 0-23 ;; 12/24-hour convention","An hour of the day.","Hour position 0-23.","no","0 ;; 23"
"temporal","phase","day_of_week","subclass","factor","WWW;;WWWW;;number","weekday position","as_factor","valid weekday ;; week-start convention","A day of the week.","Weekday position; drives the day-of-week graphic.","no","Mon ;; 1"
"temporal","phase","week_of_year","subclass","integer","ww","week position 1-53","as_integer","in range 1-53 ;; week-numbering convention","A week of the year.","ISO or US week number.","no","1 ;; 52"
"temporal","phase","month_of_year","subclass","factor","mm;;MMM;;MMMM","month position 1-12","as_factor","in range 1-12","A month of the year.","Recurring month position (Jan-Dec), not tied to a year.","no","3 ;; Mar ;; March"
"temporal","phase","season_of_year","subclass","factor","plain","season position","","four-season or meteorological convention","A season of the year.","Recurring season position.","no","Winter ;; Spring"
"temporal","interval","","class","interval","range","","","start <= end ;; open/closed bounds declared ;; overlap rules","A start-end time span.","A pair of time points bounding a span.","yes","2019-01-01/2019-12-31"
"temporal","interval","date_range","subclass","interval","range","date interval","as_date_range","two valid dates ;; start <= end","A date range.","A start and end calendar date.","yes","2019-01-01 to 2019-12-31"
"identifier","","","type","character","9(n);;*(n)","","as_id","preserve exact representation ;; no arithmetic ;; preserve leading zeros","A label that names or keys an entity.","The identifier family. Format = a named scheme (system:scheme) when one exists, else a COBOL-picture mask.","yes","06037 ;; ORG-001"
"identifier","id","","class","character","9(n);;A(n)9(n)","","as_id","unique where required ;; non-missing where required ;; stable across versions","A general identifier (default identifier class).","Any key or code. Mask for custom IDs; named scheme for registered ones.","yes","A1B2C3 ;; ORG-00123"
"identifier","id","record","subclass","character","hash:uuid;;9(n)","","as_id","unique ;; non-missing","A record / row key.","A per-row primary key (serial, UUID, slug).","yes","550e8400-e29b-41d4-a716-446655440000"
"identifier","id","entity","subclass","character","bio:ensembl;;A(n)9(n)","","as_id","unique within entity domain ;; stable over time","An entity identifier.","Names a real-world entity (accession, ORG-001, gene/protein IDs).","yes","ENSG00000139618 ;; ORG-001"
"identifier","id","administrative","subclass","character","gov:ein;;gov:ssn;;gov:npi;;pub:doi;;pub:orcid;;pub:isbn13","","as_id","domain-specific pattern ;; checksum where available ;; preserve leading zeros","An administrative / registry ID.","A government or registry identifier with a pattern or checksum. Tier 1 (checksum): npi, orcid, isbn, issn, dea. Tier 2 (structure/prefix): ssn, ein, doi.","yes","01-2345678 ;; 0000-0002-1825-0097"
"identifier","id","geographic","subclass","character","fips:county;;fips:tract;;postal:zip5","GEOID;;FIPS;;ZIP","as_id","fixed length ;; preserve leading zeros ;; valid vintage ;; hierarchy consistency","A geographic key.","A geographic code used as a key. Format defers to the geographic tokens; atomized components take a width suffix (fips:county3).","yes","06037 ;; 36061"
"identifier","id","hash","subclass","character","hash:md5;;hash:sha256;;hash:uuid","","as_id","expected length & alphabet ;; algorithm declared","A hash digest.","A content hash used as an identifier (MD5, SHA-256, UUID).","yes","d41d8cd98f00b204e9800998ecf8427e"
"identifier","id","version","subclass","character","9(n).9(n).9(n)","","as_id","valid version syntax ;; monotonicity where expected","A version identifier.","A version or revision tag (semver-style).","no","v2 ;; 1.4.0"
"structured","","","type","list","serialized","","","valid syntax ;; member schema","A composite value holding multiple elements.","The structured family: one cell containing a collection or record.","no","{...} ;; [a,b]"
"structured","collection","","class","list","serialized","","","member-type consistency ;; cardinality limits","An ordered/unordered set of elements (default structured class).","A collection of like elements in one cell.","no","[1, 2, 3]"
"structured","collection","list","subclass","list","serialized","","","member schema","A list.","A variable-length collection.","no","[a, b, c]"
"structured","collection","array","subclass","list","serialized","dimensions","","dimension & element-type consistency","An array.","A fixed-shape multi-dimensional collection.","no","[[1,2],[3,4]]"
"structured","record","","class","list","serialized","","","required keys ;; field types","A keyed record (default structured class for objects).","A composite of named fields in one cell.","no","{a:1,b:2}"
"structured","record","object","subclass","list","serialized","record schema","","schema version ;; no unexpected keys where strict","An object.","A schema-bearing record.","no","{id:1,name:x}"
"structured","record","key_value","subclass","list","serialized","mapping","","unique keys ;; allowed keys ;; value-type rules","A key-value mapping.","A dictionary of key to value.","no","a=1;b=2"
"structured","geometry","","class","sfc","wkt;;wkb;;geojson;;epsg:4326:latlon","EPSG:4326","","valid geometry ;; CRS declared ;; coordinate bounds","A spatial geometry.","A geographic shape or packed coordinate pair. epsg:4326:latlon = lat-first pair; epsg:4326:lonlat = GeoJSON order.","no","POINT(30 10) ;; 34.05,-118.24"
"unknown","","","type","character","plain","","","retain original values ;; do not coerce automatically ;; profile candidate types","Type not determined.","The fallback family: values whose type could not be resolved. Kept as text; never auto-coerced.","no","?? ;; mixed"
"unknown","unknown","","class","character","plain","","","retain source text","Unclassified (default unknown class).","No confident type. Retain and profile.","no","???"
"unknown","unknown","mixed","subclass","character","plain","","","identify dominant type ;; flag exceptions","A column with mixed types.","Multiple value types share one column.","no","12 ;; N/A ;; foo"
"unknown","unknown","malformed","subclass","character","plain","","","retain source text ;; log parse errors ;; quantify failure rate","Malformed / parse-failure values.","Values that failed to parse; retained verbatim for review.","no","2019-13-45"
