"data_type","data_class","data_subclass","examples","data_format","raw_to_stable_transform","stable_format","stable_import_rule","data_format_default_type","data_format_default_class","dd_data_unit","short_desc","detail","validation","default_storage","implemented"
"categorical","multiselect","tags","Volunteer;Donor;Board","label delim=;","{none}","Volunteer;Donor;Board","as_list","{data_type=categorical:} code;;label","{data_class=multiselect:} label delim=;","","Zero or more levels per record.","A delimited set of members; member encoding plus delim=<char>.","allowed member values ;; no duplicate members","list","no"
"categorical","scale","likert","1=Strongly disagree ;; 5=Strongly agree","code=label","as_ordered","{as_ordered} 1 ;; 5","as_ordered","{data_type=categorical:} code;;label","{data_class=scale:} code;;code=label","ordered response scale","A Likert agreement scale.","Symmetric agree-disagree scale; code split from label into dd_f_levels with order.","symmetric scale ;; reverse-coded items documented","ordered factor","no"
"categorical","scale","rating","4 ;; 5","code","as_ordered","4 ;; 5","as_ordered","{data_type=categorical:} code;;label","{data_class=scale:} code;;code=label","ordered scale (1-5;;1-10)","A rating scale.","A bounded rating (stars, 1-10).","min & max ;; permitted increments","ordered factor","no"
"categorical","scale","ranking","1 ;; 2 ;; 3","code","as_integer","1 ;; 2 ;; 3","as_integer","{data_type=categorical:} code;;label","{data_class=scale:} code;;code=label","rank position","A ranking of options.","An ordering of choices by preference.","unique ranks where required ;; bounded by option count","integer","no"
"categorical","scale","grade_level","K ;; 12","code","as_ordered","K ;; 12","as_ordered","{data_type=categorical:} code;;label","{data_class=scale:} code;;code=label","ordered levels (K-12)","An education grade level.","School grade (K-12); ordered with roughly interval spacing.","bounded range","ordered factor","no"
"boolean","binary","indicator","1 ;; 0","10","as_boolean","TRUE ;; FALSE","{default:logical}","{data_type=boolean:} tf|yn|10","{data_class=binary:} tf|yn|10|check blank=na","","A 0/1 indicator flag.","A dummy variable marking presence of a condition.","exactly two states ;; distinguish missing from false","logical","no"
"boolean","binary","presence","x ;; (blank)","check blank=false","as_boolean","TRUE ;; FALSE","{default:logical}","{data_type=boolean:} tf|yn|10","{data_class=binary:} tf|yn|10|check blank=na","","A present/absent (checkbox) flag.","A checkbox where a mark is TRUE and blank is FALSE.","missingness distinct from absence","logical","no"
"boolean","binary","status","active ;; inactive","true=[active] false=[inactive]","as_boolean","TRUE ;; FALSE","{default:logical}","{data_type=boolean:} tf|yn|10","{data_class=binary:} tf|yn|10|check blank=na","","An on/off status.","A two-state status via an explicit token set.","temporal consistency with status dates","logical","no"
"boolean","binary","response","yes ;; no","yn blank=na","as_boolean","TRUE ;; FALSE","{default:logical}","{data_type=boolean:} tf|yn|10","{data_class=binary:} tf|yn|10|check blank=na","","A yes/no survey response.","A binary survey answer; refusal/missing kept separate.","two responses ;; missing handled separately","logical","no"
"boolean","binary","mixed","yes ;; 0 ;; t ;; x ;; (blank)","tf|yn|10|check blank=false","as_boolean","TRUE ;; FALSE ;; TRUE ;; TRUE ;; FALSE","{default:logical}","{data_type=boolean:} tf|yn|10","{data_class=binary:} tf|yn|10|check blank=na","","A mixed-encoding boolean (e.g. IRS 990).","Multiple encodings in one column; presets unioned with | and blank=false.","exactly two states after normalize","logical","no"
"temporal","date","calendar","03/15/2019 ;; 3-15-2019","mmddyyyy","as_mmddyyyy","2019-03-15 ;; 2019-03-15","as_yyyymmdd","{data_type=temporal:} yyyymmdd {iso}","{data_class=date:} yyyymmdd {iso};;mmddyyyy;;ddmmyyyy","","A calendar date.","A day-resolution date; stabilized to ISO yyyymmdd. Raw order/separator recorded in data_format.","valid calendar date ;; no impossible dates","Date","yes"
"temporal","date","timestamp","3/15/2019 2:30 PM","mmddyyyyhhiiA","as_datetime","2019-03-15 14:30:00","as_datetime","{data_type=temporal:} yyyymmdd {iso}","{data_class=date:} yyyymmdd {iso};;mmddyyyy;;ddmmyyyy","datetime;;timezone","A date plus time of day.","A timestamp resolving to a moment.","timezone declared ;; DST handling","POSIXct","yes"
"temporal","time","clock","2:30 PM","hhiiA","as_clock","14:30","as_clock","{data_type=temporal:} yyyymmdd {iso}","{data_class=time:} HHii;;hhiiA","hour;;minute","A time of day (no date).","A clock time with no calendar date.","valid h/m/s ;; 12/24-hour convention","hms","yes"
"temporal","period","year","FY2019 ;; 2019","FYyyyy;;yyyy","as_yyyy","2019 ;; 2019","as_yyyy","{data_type=temporal:} yyyymmdd {iso}","{data_class=period:} yyyy;;yyyyQq;;yyyy-mm","calendar or fiscal year","A year.","A calendar or fiscal year.","valid year range ;; convention declared","integer","yes"
"temporal","period","quarter","2019Q1","yyyyQq","as_quarter","2019Q1","as_quarter","{data_type=temporal:} yyyymmdd {iso}","{data_class=period:} yyyy;;yyyyQq;;yyyy-mm","calendar or fiscal quarter","A quarter.","A calendar or fiscal quarter.","valid quarter ;; convention declared","yearqtr","no"
"temporal","period","month","201903 ;; Mar 2019","yyyymm;;Myyyy","as_yyyymm","2019-03","as_yyyymm","{data_type=temporal:} yyyymmdd {iso}","{data_class=period:} yyyy;;yyyyQq;;yyyy-mm","calendar month","A calendar month.","A year-month period; drives the monthly calendar graphic.","valid month ;; parsing convention declared","yearmon","yes"
"temporal","period","reporting_period","2019-07-01 to 2020-06-30","range","as_range","{split}[_start][_end]","as_yyyymmdd","{data_type=temporal:} yyyymmdd {iso}","{data_class=period:} yyyy;;yyyyQq;;yyyy-mm","fiscal or reporting period","A reporting period.","A fiscal or reporting window; split into _start and _end.","start <= end ;; overlap & gap checks","character","no"
"temporal","phase","hour_of_day","23","H","as_integer","23","as_integer","{data_type=temporal:} yyyymmdd {iso}","{data_class=phase:} plain","hour position 0-23","An hour of the day.","Recurring hour position 0-23.","in range 0-23","integer","no"
"temporal","phase","day_of_week","Mon","WWW","as_ordered","Mon","as_ordered","{data_type=temporal:} yyyymmdd {iso}","{data_class=phase:} plain","weekday position","A day of the week.","Recurring weekday position; drives the day-of-week graphic.","valid weekday ;; week-start convention","ordered factor","no"
"temporal","phase","month_of_year","Mar","MMM","as_ordered","Mar","as_ordered","{data_type=temporal:} yyyymmdd {iso}","{data_class=phase:} plain","month position 1-12","A month of the year.","Recurring month position (Jan-Dec), not tied to a year.","in range 1-12","ordered factor","no"
"temporal","interval","date_range","2019-01-01 to 2019-12-31","range","as_range","{split}[_start][_end]","as_yyyymmdd","{data_type=temporal:} yyyymmdd {iso}","{data_class=interval:} range","date interval","A date range.","A start and end calendar date; split into _start and _end.","two valid dates ;; start <= end","character","yes"
"identifier","id","record","550e8400-e29b-41d4-a716-446655440000","hash:uuid","{none}","550e8400-e29b-41d4-a716-446655440000","as_id","{data_type=identifier:} 9(n);;*(n)","{data_class=id:} 9(n);;A(n)9(n)","","A record / row key.","A per-row primary key (serial, UUID, slug).","unique ;; non-missing","character","yes"
"identifier","id","entity","ENSG00000139618 ;; ORG-001","bio:ensembl;;A(n)9(n)","{none}","ENSG00000139618 ;; ORG-001","as_id","{data_type=identifier:} 9(n);;*(n)","{data_class=id:} 9(n);;A(n)9(n)","","An entity identifier.","Names a real-world entity (accession, ORG-001, gene/protein IDs).","unique within entity domain ;; stable over time","character","yes"
"identifier","id","administrative","01-2345678 ;; 12345678","gov:ein","as_ein","01-2345678 ;; 01-2345678","as_id","{data_type=identifier:} 9(n);;*(n)","{data_class=id:} 9(n);;A(n)9(n)","","An administrative / registry ID.","A government/registry ID with a pattern or checksum; as_ein restores the dropped leading zero and delimiter.","domain pattern ;; checksum where available ;; preserve leading zeros","character","yes"
"identifier","id","geographic","6037 ;; 06037","fips:county","as_id","06037 ;; 06037","as_id","{data_type=identifier:} 9(n);;*(n)","{data_class=id:} 9(n);;A(n)9(n)","GEOID;;FIPS;;ZIP","A geographic key.","A geographic code used as a key; as_id zero-pads to the scheme width (6037 -> 06037).","fixed length ;; preserve leading zeros ;; valid vintage","character","yes"
"identifier","id","hash","d41d8cd98f00b204e9800998ecf8427e","hash:md5","{none}","d41d8cd98f00b204e9800998ecf8427e","as_id","{data_type=identifier:} 9(n);;*(n)","{data_class=id:} 9(n);;A(n)9(n)","","A hash digest.","A content hash used as an identifier (MD5, SHA-256, UUID).","expected length & alphabet ;; algorithm declared","character","yes"
"identifier","id","version","1.4.0 ;; v2","9(n).9(n).9(n)","{none}","1.4.0 ;; v2","as_id","{data_type=identifier:} 9(n);;*(n)","{data_class=id:} 9(n);;A(n)9(n)","","A version identifier.","A version or revision tag (semver-style).","valid version syntax ;; monotonicity where expected","character","no"
"structured","collection","list","[a, b, c]","serialized","as_list","c(""a"",""b"",""c"")","as_list","{data_type=structured:} serialized","{data_class=collection:} serialized","","A list.","A variable-length collection carried in one cell.","member schema ;; cardinality limits","list","no"
"structured","collection","array","[[1,2],[3,4]]","serialized","as_array","matrix(c(1,2,3,4),2)","as_list","{data_type=structured:} serialized","{data_class=collection:} serialized","dimensions","An array.","A fixed-shape multi-dimensional collection.","dimension & element-type consistency","list","no"
"structured","record","object","{id:1,name:x}","serialized","as_object","list(id=1,name=""x"")","as_list","{data_type=structured:} serialized","{data_class=record:} serialized","record schema","An object.","A schema-bearing record of named fields.","required keys ;; field types","list","no"
"structured","record","key_value","a=1;b=2","delim=; kv==","as_kv","list(a=1,b=2)","as_list","{data_type=structured:} serialized","{data_class=record:} serialized","mapping","A key-value mapping.","A dictionary of key to value; delim separates pairs, kv splits key from value.","unique keys ;; value-type rules","list","no"
"structured","geometry","point","POINT(30 10)","wkt","as_geometry","POINT(30 10)","as_sf","{data_type=structured:} serialized","{data_class=geometry:} wkt;;geojson","EPSG:4326","A point geometry.","A spatial point; CRS declared.","valid geometry ;; CRS declared","sfc","no"
"structured","geometry","polygon","POLYGON((0 0,1 0,1 1,0 0))","wkt","as_geometry","POLYGON((0 0,1 0,1 1,0 0))","as_sf","{data_type=structured:} serialized","{data_class=geometry:} wkt;;geojson","EPSG:4326","A polygon geometry.","A spatial polygon; CRS declared.","valid geometry ;; ring closure ;; CRS declared","sfc","no"
"unknown","unknown","mixed","12 ;; N/A ;; foo","literal","{none}","12 ;; N/A ;; foo","as_text","{data_type=unknown:} literal","{data_class=unknown:} literal","","A column with mixed types.","Multiple value types share one column; retained as text, dominant type flagged for review.","identify dominant type ;; flag exceptions","character","no"
"unknown","unknown","malformed","2019-13-45","literal","{none}","2019-13-45","as_text","{data_type=unknown:} literal","{data_class=unknown:} literal","","Malformed / parse-failure values.","Values that failed to parse; retained verbatim (literal) for review.","retain source text ;; log parse errors","character","no"
"unknown","unknown","unclassified","???","literal","{none}","???","as_text","{data_type=unknown:} literal","{data_class=unknown:} literal","","Unclassified values.","No confident type; retained as text and profiled.","retain original values ;; do not coerce","character","no"
