"data_type","data_class","data_subclass","examples","data_format","raw_to_stable_transform","stable_format","stable_import_rule","data_format_default_type","data_format_default_class","dd_data_unit","short_desc","detail","validation","default_storage","implemented"
"number","currency","euro","2300,00€ ;; € 17.298 ;; -45€","{{ [strip:€.][range:-Inf,Inf][dec:,2] }}","{{ as_euro }}","{{ as_euro }} 2300.00 ;; 17298.00 ;; -45.00","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.2] }}","EUR","A euro amount (European format).","Euro money, dot-thousands / comma-decimal; symbol and grouping stripped.","sign allowed ;; accounting reconciliation","double","no"
"number","portion","probability","0.05 ;; 0.5","{{ [range:0,1][dec:.n] }}","{{ none }}","0.05 ;; 0.5","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:%][range:0,Inf][dec:.n] }}","","A probability (0-1).","A likelihood bounded to the unit interval.","min 0 ;; max 1","double","no"
"number","portion","odds","1:5 ;; 8:7","{{ odds_ratio }}","{{ as_probability }}","0.1667 ;; 0.5333","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:%][range:0,Inf][dec:.n] }}","","Odds expressed as a ratio.","Favorable:unfavorable; as_probability converts to 0-1.","two nonnegative parts ;; converts to 0-1","double","no"
"number","portion","percent","40 ;; 12.5 ;; 40%","{{ [strip:%][range:0,100][dec:.n] }}","{{ as_percent }}","{{ as_percent }} 40 ;; 12.5 ;; 40","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:%][range:0,Inf][dec:.n] }}","","A percentage (0-100).","A proportion on a 0-100 scale; as_percent strips a trailing %.","min 0 ;; max 100","double","no"
"number","portion","percentile","90 ;; 50 ;; 99th","{{ [strip:^0-9.][range:0,100][dec:.0] }}","{{ as_number }}","90 ;; 50 ;; 99","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:%][range:0,Inf][dec:.n] }}","percentile 0-100","A percentile position (0-100).","Rank against a reference population; strips ordinal suffixes.","min 0 ;; max 100 ;; population declared","double","no"
"number","range","min_max","1.2, 3.4","{{ lo,hi }}","{{ as_range }}","{{ split:[_lo][_hi] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n][split:^0-9.] }}","same unit as estimate","A low-high numeric pair.","Two numeric bounds in one field; split into _lo and _hi.","lower <= upper ;; unit consistency","character","no"
"number","range","min_max","20 to 10","{{ hi to lo }}","{{ as_range }}","{{ split:[_lo][_hi] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n][split:^0-9.] }}","same unit as estimate","A high-low numeric pair.","Reversed-order pair; as_range normalizes to _lo/_hi.","lower <= upper after normalize","character","no"
"number","range","confidence_interval","[1.2, 3.4]","{{ [lo,hi] }}","{{ as_range }}","{{ split:[_lo][_hi] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [range:-Inf,Inf][dec:.n][split:^0-9.] }}","same unit as estimate","A confidence interval.","A low-high interval around an estimate, with a confidence level.","confidence level declared","character","no"
"number","coordinate","lat_lon","40° 44' 55"" N, 74° 00' 22"" W","{{ gcs:dms:latlon }}","{{ as_coord[from:gcs:dms][order:latlon] }}","{{ split:[epsg:4326_lat=40.7128][epsg:4326_lon=-74.006] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A lat/lon pair in degrees-minutes-seconds.","Sexagesimal pair, lat first; as_coord reprojects to WGS84 decimal degrees and splits.","valid dms ;; within CRS bounds","double","no"
"number","coordinate","lon_lat","74° 00' 22"" W, 40° 44' 55"" N","{{ gcs:dms:lonlat }}","{{ as_coord[from:gcs:dms][order:lonlat] }}","{{ split:[epsg:4326_lat=40.7128][epsg:4326_lon=-74.006] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A lon/lat pair in degrees-minutes-seconds.","Sexagesimal pair, lon first (GeoJSON order); reprojected and split.","valid dms ;; within CRS bounds","double","no"
"number","coordinate","lat_lon","+40.7128-074.0060","{{ iso:6709:latlon }}","{{ as_coord[from:iso:6709][order:latlon] }}","{{ split:[epsg:4326_lat=40.7128][epsg:4326_lon=-74.006] }}","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A lat/lon pair in ISO 6709.","Compact signed-decimal pair; reprojected and split.","valid iso6709 ;; within CRS bounds","double","no"
"number","coordinate","lat","34.0522","{{ epsg:4326:lat }}","{{ as_coord[from:epsg:4326][axis:lat] }}","34.0522","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A latitude.","Decimal-degree latitude (WGS84 by default).","in range -90..90","double","no"
"number","coordinate","lon","-118.2437","{{ epsg:4326:lon }}","{{ as_coord[from:epsg:4326][axis:lon] }}","-118.2437","{{ default:numeric }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","{{ [strip:^0-9.-][range:-Inf,Inf][dec:.n] }}","EPSG:4326","A longitude.","Decimal-degree longitude (WGS84 by default).","in range -180..180","double","no"
"text","text","literal","40% ;; 02168 ;; (605) 348-9999 ;; www.usa.com","{{ literal }}","{{ none }}","40% ;; 02168 ;; (605) 348-9999 ;; www.usa.com","{{ as_text }}","{{ none }}","{{ none }}","","Preserve raw data as-is.","The literal class imports raw data as text to protect original values; no formatting or cleaning, whatever the value looks like.","none","character","yes"
"text","text","label","North wing ;; Draft","{{ none }}","{{ none }}","North wing ;; Draft","{{ default:character }}","{{ none }}","{{ none }}","","A short human label.","A brief descriptive label (not a controlled category).","normalize case","character","no"
"text","text","title","Annual Report 2019","{{ none }}","{{ none }}","Annual Report 2019","{{ default:character }}","{{ none }}","{{ none }}","","A title or heading.","A work or section title.","normalize capitalization ;; max length","character","no"
"text","text","long","The organization was founded in...","{{ none }}","{{ none }}","The organization was founded in...","{{ default:character }}","{{ none }}","{{ none }}","","Long free text.","Multi-sentence notes or descriptions.","preserve line breaks ;; flag control characters","character","no"
"text","text","serialized","{a:1} ;; a|b|c","{{ json ;; xml ;; delimited }}","{{ as_serial[delim::] }}","c(""a"",""1"") ;; c(""a"",""b"",""c"")","{{ as_list ;; as_string }}","{{ none }}","{{ none }}","","Serialized text (JSON/XML/delimited).","Structured data carried as a string; promote to structured if parsed.","valid syntax","character","no"
"text","name","person","Doe, Jane ;; Jane Doe","{{ Last, First ;; First Last }}","{{ none }}","Doe, Jane ;; Jane Doe","{{ default:character }}","{{ none }}","{{ plain }}","","A person's name.","An individual's name; format notes the ordering convention.","flag digits","character","no"
"text","name","organization","AMERICAN LEGION ;; ROTARY INTERNATIONAL","{{ plain }}","{{ none }}","AMERICAN LEGION ;; ROTARY INTERNATIONAL","{{ default:character }}","{{ none }}","{{ plain }}","","An organization's name.","A legal or organization name.","normalize suffixes (Inc;;LLC)","character","yes"
"text","name","place","Springfield ;; Cook County","{{ plain }}","{{ none }}","Springfield ;; Cook County","{{ default:character }}","{{ none }}","{{ plain }}","","A place / geographic name.","A named place as free text (a geographic code is categorical.geographic).","reference-list lookup where categorical","character","no"
"text","name","handle","@JaneDoe ;; janedoe","{{ handle:twitter }}","{{ as_handle }}","janedoe ;; janedoe","{{ default:character }}","{{ none }}","{{ plain }}","","A social / user handle.","An account handle; promote to identifier when it keys the account. Platform in the token; @ stripped, lowercased.","platform charset & length","character","no"
"text","postal","street","5101 MONUMENT AVE","{{ plain }}","{{ none }}","5101 MONUMENT AVE","{{ default:character }}","{{ none }}","{{ plain }}","","A street address line.","The street line of a physical address.","street-suffix normalization","character","yes"
"text","postal","po_box","PO BOX 7002","{{ plain }}","{{ none }}","PO BOX 7002","{{ default:character }}","{{ none }}","{{ plain }}","","A PO box.","A post-office box address.","box-number present","character","yes"
"text","postal","full","4 COURT SQUARE, RICHMOND VA 23219","{{ plain }}","{{ none }}","4 COURT SQUARE, RICHMOND VA 23219","{{ default:character }}","{{ none }}","{{ plain }}","","A full postal address.","A complete one-line mailing address.","min component presence ;; postal-code consistency","character","yes"
"text","web","url","www.pets.com ;; http://pets.com","{{ url }}","{{ as_url }}","https://www.pets.com ;; https://pets.com","{{ default:character }}","{{ none }}","{{ url ;; domain ;; ipv4 ;; mac }}","","A URL.","A web address; as_url adds scheme, lowercases host, normalizes www, drops trailing slash.","valid URI syntax ;; allowed schemes","character","yes"
"text","web","domain","Pets.com ;; www.example.org","{{ domain }}","{{ as_url }}","pets.com ;; www.example.org","{{ default:character }}","{{ none }}","{{ url ;; domain ;; ipv4 ;; mac }}","","A domain / hostname.","A bare host name without scheme or path.","valid hostname ;; lowercase","character","no"
"text","web","ip","192.168.0.1 ;; ::1","{{ ipv4 ;; ipv6 }}","{{ none }}","192.168.0.1 ;; ::1","{{ default:character }}","{{ none }}","{{ url ;; domain ;; ipv4 ;; mac }}","","An IP address.","An IPv4 or IPv6 network address.","valid address pattern ;; canonical form","character","yes"
"text","web","mac","01:23:45:67:89:ab","{{ mac }}","{{ none }}","01:23:45:67:89:ab","{{ default:character }}","{{ none }}","{{ url ;; domain ;; ipv4 ;; mac }}","","A MAC address.","A hardware MAC address.","valid MAC pattern ;; canonical form","character","yes"
"text","contact","email","Jane@Example.ORG","{{ email }}","{{ as_email }}","jane@example.org","{{ default:character }}","{{ none }}","{{ email ;; E.164 }}","","An email address.","An RFC-style email address; as_email lowercases the domain.","email pattern ;; lowercase domain","character","yes"
"text","contact","phone","(605) 348-9999 ;; +44 20 7946 0958","{{ national ;; E.164 }}","{{ as_phone }}","+16053489999 ;; +442079460958","{{ default:character }}","{{ none }}","{{ email ;; E.164 }}","","A phone number.","A telephone number; as_phone normalizes to E.164.","valid phone pattern ;; country-code consistency","character","yes"
"text","color","hex","#1A2B3C ;; 1a2b3c","{{ hex }}","{{ as_hex }}","#1A2B3C ;; #1A2B3C","{{ default:character }}","{{ none }}","{{ hex ;; rgb ;; hsl ;; cmyk }}","","A hex color.","A #RRGGBB color; as_hex adds # and uppercases.","valid hex ;; 3 or 6 digits","character","yes"
"text","color","rgb","rgb(255,0,0)","{{ rgb }}","{{ none }}","rgb(255,0,0)","{{ default:character }}","{{ none }}","{{ hex ;; rgb ;; hsl ;; cmyk }}","","An RGB triple.","Red-green-blue channels 0-255.","channel range 0-255","character","yes"
"text","color","hsl","hsl(0,100%,50%)","{{ hsl }}","{{ none }}","hsl(0,100%,50%)","{{ default:character }}","{{ none }}","{{ hex ;; rgb ;; hsl ;; cmyk }}","","An HSL triple.","Hue-saturation-lightness.","valid hsl ranges","character","yes"
"text","color","cmyk","cmyk(0,1,1,0)","{{ cmyk }}","{{ none }}","cmyk(0,1,1,0)","{{ default:character }}","{{ none }}","{{ hex ;; rgb ;; hsl ;; cmyk }}","","A CMYK quadruple.","Cyan-magenta-yellow-key 0-1.","channel range 0-1","character","yes"
"categorical","mutually_exclusive","unordered","M ;; F ;; F","{{ code }}","{{ as_factor }}","M ;; F ;; F","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","","An unordered (nominal) category.","Levels with no meaningful order; labels held in dd_f_levels.","allowed levels ;; unexpected-level check","factor","yes"
"categorical","mutually_exclusive","ordered","1 ;; 2 ;; 3","{{ code }}","{{ as_ordered }}","1 ;; 2 ;; 3","{{ as_ordered }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","","An ordered (ordinal) category without intervals.","Order carried by the order field in dd_f_levels.","order declared ;; monotonic coding","ordered factor","yes"
"categorical","mutually_exclusive","geographic","CA ;; 06037","{{ usps:state ;; fips:county }}","{{ as_factor }}","CA ;; 06037","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","geographic level","A geographic grouping.","A geography used as a grouping variable; format defers to geographic tokens. Promoted to identifier.id.geographic when near-unique.","reference-list lookup ;; hierarchy consistency","factor","yes"
"categorical","mutually_exclusive","classification_code","5417 ;; 541511","{{ class:naics }}","{{ as_factor }}","5417 ;; 541511","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","classification system & level","A classification-system code.","A code from a standard classification (NAICS, ICD); format = class:<system>.","valid code & vintage ;; parent-child consistency","factor","yes"
"categorical","mutually_exclusive","missingness_reason","Refused ;; N/A","{{ label }}","{{ as_factor }}","Refused ;; Not applicable","{{ as_factor }}","{{ code ;; label }}","{{ code ;; label ;; code=label }}","missingness categories","A reason-for-missing code.","Categories explaining why a value is missing; kept separate from substantive values.","mutually exclusive ;; separate from substantive values","factor","no"
"categorical","multiselect","tags","Volunteer;Donor;Board","{{ label [delim:;] }}","{{ none }}","Volunteer;Donor;Board","{{ as_list }}","{{ code ;; label }}","{{ label [delim:;] }}","","Zero or more levels per record.","A delimited set of members; member encoding plus [delim:x].","allowed member values ;; no duplicate members","list","no"
"categorical","scale","likert","1=Strongly disagree ;; 5=Strongly agree","{{ code=label }}","{{ as_ordered }}","{{ as_ordered }} 1 ;; 5","{{ as_ordered }}","{{ code ;; label }}","{{ code ;; code=label }}","ordered response scale","A Likert agreement scale.","Symmetric agree-disagree scale; code split from label into dd_f_levels with order.","symmetric scale ;; reverse-coded items documented","ordered factor","no"
"categorical","scale","rating","4 ;; 5","{{ code }}","{{ as_ordered }}","4 ;; 5","{{ as_ordered }}","{{ code ;; label }}","{{ code ;; code=label }}","ordered scale (1-5;;1-10)","A rating scale.","A bounded rating (stars, 1-10).","min & max ;; permitted increments","ordered factor","no"
"categorical","scale","ranking","1 ;; 2 ;; 3","{{ code }}","{{ as_integer }}","1 ;; 2 ;; 3","{{ as_integer }}","{{ code ;; label }}","{{ code ;; code=label }}","rank position","A ranking of options.","An ordering of choices by preference.","unique ranks where required ;; bounded by option count","integer","no"
"categorical","scale","grade_level","K ;; 12","{{ code }}","{{ as_ordered }}","K ;; 12","{{ as_ordered }}","{{ code ;; label }}","{{ code ;; code=label }}","ordered levels (K-12)","An education grade level.","School grade (K-12); ordered with roughly interval spacing.","bounded range","ordered factor","no"
"boolean","binary","indicator","1 ;; 0","{{ 10 }}","{{ as_boolean }}","TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","A 0/1 indicator flag.","A dummy variable marking presence of a condition.","exactly two states ;; distinguish missing from false","logical","no"
"boolean","binary","presence","x ;; (blank)","{{ check blank=false }}","{{ as_boolean }}","TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","A present/absent (checkbox) flag.","A checkbox where a mark is TRUE and blank is FALSE.","missingness distinct from absence","logical","no"
"boolean","binary","status","active ;; inactive","{{ true=[active] false=[inactive] }}","{{ as_boolean }}","TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","An on/off status.","A two-state status via an explicit token set.","temporal consistency with status dates","logical","no"
"boolean","binary","response","yes ;; no","{{ yn blank=na }}","{{ as_boolean }}","TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","A yes/no survey response.","A binary survey answer; refusal/missing kept separate.","two responses ;; missing handled separately","logical","no"
"boolean","binary","mixed","yes ;; 0 ;; t ;; x ;; (blank)","{{ tf|yn|10|check blank=false }}","{{ as_boolean }}","TRUE ;; FALSE ;; TRUE ;; TRUE ;; FALSE","{{ default:logical }}","{{ tf|yn|10 }}","{{ tf|yn|10|check blank=na }}","","A mixed-encoding boolean (e.g. IRS 990).","Multiple encodings in one column; presets unioned with | and blank=false.","exactly two states after normalize","logical","no"
"temporal","date","calendar","03/15/2019 ;; 3-15-2019","{{ mmddyyyy }}","{{ as_mmddyyyy }}","2019-03-15 ;; 2019-03-15","{{ as_yyyymmdd }}","{{ yyyymmdd }} iso","{{ yyyymmdd ;; mmddyyyy ;; ddmmyyyy }}","","A calendar date.","A day-resolution date; stabilized to ISO yyyymmdd. Raw order/separator recorded in data_format.","valid calendar date ;; no impossible dates","Date","yes"
"temporal","date","timestamp","3/15/2019 2:30 PM","{{ mmddyyyy hh:ii12A }}","{{ as_datetime }}","2019-03-15 14:30:00","{{ as_datetime }}","{{ yyyymmdd }} iso","{{ yyyymmdd ;; mmddyyyy ;; ddmmyyyy }}","datetime;;timezone","A date plus time of day.","A timestamp resolving to a moment.","timezone declared ;; DST handling","POSIXct","yes"
"temporal","time","clock","2:30 PM","{{ hh:ii12A }}","{{ as_clock }}","14:30","{{ as_clock }}","{{ yyyymmdd }} iso","{{ hh:ii24 ;; hh:ii12A }}","hour;;minute","A time of day (no date).","A clock time with no calendar date.","valid h/m/s ;; 12/24-hour convention","hms","yes"
"temporal","period","year","FY2019 ;; 2019","{{ FYyyyy ;; yyyy }}","{{ as_yyyy }}","2019 ;; 2019","{{ as_yyyy }}","{{ yyyymmdd }} iso","{{ yyyy ;; yyyyQq ;; yyyy-mm }}","calendar or fiscal year","A year.","A calendar or fiscal year.","valid year range ;; convention declared","integer","yes"
"temporal","period","quarter","2019Q1","{{ yyyyQq }}","{{ as_quarter }}","2019-Q1","{{ as_quarter }}","{{ yyyymmdd }} iso","{{ yyyy ;; yyyyQq ;; yyyy-mm }}","calendar or fiscal quarter","A quarter.","A calendar or fiscal quarter.","valid quarter ;; convention declared","yearqtr","no"
"temporal","period","month","201903 ;; Mar 2019","{{ yyyymm ;; Myyyy }}","{{ as_yyyymm }}","2019-03","{{ as_yyyymm }}","{{ yyyymmdd }} iso","{{ yyyy ;; yyyyQq ;; yyyy-mm }}","calendar month","A calendar month.","A year-month period; drives the monthly calendar graphic.","valid month ;; parsing convention declared","yearmon","yes"
"temporal","period","reporting_period","2019-07-01 to 2020-06-30","{{ range }}","{{ as_range }}","{{ split:[_start][_end] }}","{{ as_yyyymmdd }}","{{ yyyymmdd }} iso","{{ yyyy ;; yyyyQq ;; yyyy-mm }}","fiscal or reporting period","A reporting period.","A fiscal or reporting window; split into _start and _end.","start <= end ;; overlap & gap checks","character","no"
"temporal","phase","hour_of_day","23","{{ hh24 }}","{{ as_integer }}","23","{{ as_integer }}","{{ yyyymmdd }} iso","{{ plain }}","hour position 0-23","An hour of the day.","Recurring hour position 0-23.","in range 0-23","integer","no"
"temporal","phase","day_of_week","Mon","{{ WWW }}","{{ as_ordered }}","1","{{ as_ordered }}","{{ yyyymmdd }} iso","{{ plain }}","weekday position","A day of the week.","Stabilized to numeric 1-7 (week-start declared); name label in dd_f_levels. Drives the day-of-week graphic.","valid weekday ;; week-start convention","ordered factor","no"
"temporal","phase","month_of_year","Mar","{{ MMM }}","{{ as_ordered }}","3","{{ as_ordered }}","{{ yyyymmdd }} iso","{{ plain }}","month position 1-12","A month of the year.","Stabilized to numeric 1-12 (Jan-Dec); name label in dd_f_levels. Not tied to a year.","in range 1-12","ordered factor","no"
"temporal","phase","week_of_year","12","{{ ww }}","{{ as_integer }}","12","{{ as_integer }}","{{ yyyymmdd }} iso","{{ plain }}","week position 1-53","A week of the year.","Recurring ISO/US week number 1-53.","in range 1-53 ;; week-numbering convention","integer","no"
"temporal","interval","date_range","2019-01-01 to 2019-12-31","{{ range }}","{{ as_range }}","{{ split:[_start][_end] }}","{{ as_yyyymmdd }}","{{ yyyymmdd }} iso","{{ range }}","date interval","A date range.","A start and end calendar date; split into _start and _end.","two valid dates ;; start <= end","character","yes"
"identifier","id","record","550e8400-e29b-41d4-a716-446655440000","{{ hash:uuid }}","{{ none }}","550e8400-e29b-41d4-a716-446655440000","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","A record / row key.","A per-row primary key (serial, UUID, slug).","unique ;; non-missing","character","yes"
"identifier","id","entity","ENSG00000139618 ;; ORG-001","{{ bio:ensembl ;; A(n)9(n) }}","{{ none }}","ENSG00000139618 ;; ORG-001","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","An entity identifier.","Names a real-world entity (accession, ORG-001, gene/protein IDs).","unique within entity domain ;; stable over time","character","yes"
"identifier","id","administrative","01-2345678 ;; 12345678","{{ gov:ein }}","{{ as_ein }}","01-2345678 ;; 01-2345678","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","An administrative / registry ID.","A government/registry ID; as_ein restores the dropped leading zero and delimiter (the hyphen hardens it).","domain pattern ;; checksum where available ;; preserve leading zeros","character","yes"
"identifier","id","geographic","6037 ;; 06037","{{ fips:county }}","{{ as_id[prefix:FIPS] }}","FIPS-06037 ;; FIPS-06037","{{ default:character }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","GEOID;;FIPS;;ZIP","A geographic key.","An all-numeric geo code: as_id zero-pads AND prefixes (FIPS-) so it stays character everywhere; prefix also disambiguates 5-digit FIPS from CBSA. dd_is_join_key=TRUE by default.","fixed length ;; preserve leading zeros ;; valid vintage","character","yes"
"identifier","id","hash","d41d8cd98f00b204e9800998ecf8427e","{{ hash:md5 }}","{{ none }}","d41d8cd98f00b204e9800998ecf8427e","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","A hash digest.","A content hash used as an identifier (MD5, SHA-256, UUID).","expected length & alphabet ;; algorithm declared","character","yes"
"identifier","id","version","1.4.0 ;; v2","{{ 9(n).9(n).9(n) }}","{{ none }}","1.4.0 ;; v2","{{ as_id }}","{{ 9(n) ;; X(n) }}","{{ 9(n) ;; A(n)9(n) }}","","A version identifier.","A version or revision tag (semver-style).","valid version syntax ;; monotonicity where expected","character","no"
"structured","collection","list","[a, b, c]","{{ literal }}","{{ none }}","[a, b, c]","{{ as_text }}","{{ literal }}","{{ literal }}","","A list.","A variable-length collection carried in one cell.","member schema ;; cardinality limits","list","no"
"structured","collection","array","[[1,2],[3,4]]","{{ literal }}","{{ none }}","[[1,2],[3,4]]","{{ as_text }}","{{ literal }}","{{ literal }}","dimensions","An array.","A fixed-shape multi-dimensional collection.","dimension & element-type consistency","list","no"
"structured","record","object","{id:1,name:x}","{{ literal }}","{{ none }}","{id:1,name:x}","{{ as_text }}","{{ literal }}","{{ literal }}","record schema","An object.","A schema-bearing record of named fields.","required keys ;; field types","list","no"
"structured","record","key_value","a=1;b=2","{{ literal }}","{{ none }}","a=1;b=2","{{ as_text }}","{{ literal }}","{{ literal }}","mapping","A key-value mapping.","A dictionary; [delim:x] separates pairs, [kv:x] splits key from value.","unique keys ;; value-type rules","list","no"
"structured","geometry","point","POINT(30 10)","{{ literal }}","{{ none }}","POINT(30 10)","{{ as_text }}","{{ literal }}","{{ literal }}","EPSG:4326","A point geometry.","A spatial point; CRS declared.","valid geometry ;; CRS declared","sfc","no"
