"Type","Example","Recall","S1","S2","S3","SP"
"US state abbreviation","WA;; OH;; DC",1,0.0588235294117647,0.0588235294117647,0.0574324324324324,NA
"ISO 3166-1 country code","MA;; AR;; GR",1,0.466666666666667,0.466666666666667,0.216216216216216,NA
"ISO 8601 date","2016-03-15;; 2016-03-13;; 2016-03-12",1,0.336683417085427,0.085427135678392,0,0
"ISO 8601 datetime","1987-02-06T06:00:37;; 1988-01-12T06:34:58;; 1930-07-06T02:08:45",1,0.165,0,0,0
"US numeric date (M/D/Y)","3/3/16;; 1/27/16;; 12/31/99",1,0.614583333333333,0.125,0,0.032258064516129
"US numeric datetime (AM/PM)","2/6/1987 6:00:37 AM;; 1/12/1988 6:34:58 AM;; 7/6/1930 2:08:45 AM",1,0.085,0,0,0.0103626943005181
"day-month-year (abbrev. month)","1-Jul-14;; 2-Jul-14;; 3-Jul-14",1,0.0202020202020202,0.005,0,0
"RFC 2822 / HTTP datetime","Fri, 06 Feb 1987 06:00:37 GMT;; Tue, 12 Jan 1988 06:34:58 GMT;; Sun, 06 Jul 1930 02:08:45 GMT",1,0,0,0,0
"verbose English date","Friday, June 16, 1967;; Thursday, June 9, 1955;; Wednesday, May 17, 1967",1,0,0,0,0
"Month Year","February 1987;; January 1988;; July 1930",1,0,0,0,0
"Month Day (no year)","February 6;; January 12;; July 6",1,0.0050761421319797,0,0.0050251256281407,0
"clock time","6:00:37 AM;; 6:34:58 AM;; 2:08:45 AM",1,0.114583333333333,0.0201005025125628,0,0
"date range","07/21/16 to 08/19/16;; 08/20/16 to 09/20/16;; 09/21/16 to 10/20/16",1,0.14375,0,0,0
"Hijri (Islamic) date","11 Shawwal 1430;; 5 Muharram 1300;; 19 Rajab 1460",1,0.00625,0,0,0
"street address","2325 140th St;; 303 Aspen Ct;; 1225 S Walnut St",1,0.0133333333333333,0.0133333333333333,0.00333333333333333,0.0471204188481675
"PO box","PO Box 1234;; P.O. Box 56;; POB 789",1,0.0252525252525253,0.01,0,0.0725806451612903
"US city / place name","Chicago;; New Orleans;; Springfield",1,0,0,0,0
"City, State","Bloomington, IN;; Cheshire, CT;; Bloomington, Indiana",1,0.309623430962343,0.0625,0.05,0.30718954248366
"State ZIP","IN 47401;; CT, 06410;; Indiana 47401",1,0.03,0.0150753768844221,0,0
"full postal address","1225 S Walnut St, Bloomington, IN 47401;; 30 Grandview Ct, Cheshire, CT 06410;; 1600 Pennsylvania Ave, Washington, DC 20500",1,0.005,0,0,0.0703517587939698
"state FIPS code","06;; 36;; 48",1,0.527777777777778,0.527777777777778,0.0227272727272727,NA
"county FIPS code","06037;; 36061;; 48201",1,0.741610738255034,0.741610738255034,0.0162866449511401,NA
"census tract FIPS","06037206200;; 36061014500;; 17031839100",1,0.785,0.785,0,NA
"census block-group FIPS","060372062001;; 360610145001;; 170318391001",1,0.75,0.75,0,NA
"census block FIPS","060372062001001;; 360610145001000;; 170318391001002",1,0.73125,0.73125,0,NA
"NCES locale code","11;; 12;; 13",1,0,0,0,NA
"CBSA code","10100;; 10140;; 10180",1,0.140939597315436,0.140939597315436,0.0129449838187702,NA
"CSA code","101;; 220;; 364",1,0.274509803921569,0.274509803921569,0.01,NA
"metro-area name (CBSA/CSA title)","Aberdeen, SD;; Abilene, TX;; Akron, OH",1,0,0,0,0
"urban/rural designation","Urban;; Rural;; Suburban",1,0,0,0,NA
"US census region/division","Northeast;; Midwest;; South",1,0,0,0,0
"US Social Security Number","540-39-4268;; 518-07-5084;; 531-33-7396",1,0.945,0.21,0,0
"US Employer ID Number","15-4464349;; 58-9042990;; 17-5287634",1,1,0.32994923857868,0,0
"DEA registration number","AP5836727;; BJ6125341;; AD0865937",1,0.0181818181818182,0.0181818181818182,0,NA
"Chinese resident ID","141002197808194474;; 431026197506218370;; 210811198609188735",1,0.0928571428571429,0.0928571428571429,0,NA
"SAM.gov UEI","ZQGGHJH74DW7;; R7KZ8N2QP4M5;; H3JD9FGT2WX6",1,1,1,0.005,NA
"NAICS industry code","11;; 236;; 311",1,0.136842105263158,0.136842105263158,0.0043859649122807,NA
"US/NANP phone number","510-577-3201;; (309) 647-1820;; (609)-993-3001",1,0.875,0.0208333333333333,0,0
"international phone number","+1-4250013981;; +61 3 6216 0864;; +64 3 477 4000",1,1,0.28,0,0.366666666666667
"MSISDN subscriber number","919961345678;; 13109976224;; 12481234567",1,1,1,0,NA
"DOI","10.1109/ICDCSW.2017.43;; 10.1109/IRI.2016.84;; 10.1109/ACC.2016.7526681",1,0.045,0.005,0,0.131428571428571
"ORCID iD","0000-0002-0488-8591;; 0000-0002-6390-6569;; 0000-0001-8666-7241",1,0.0583333333333333,0.0125,0,0
"ISBN (10 or 13)","140955525-9;; 038027303-9;; 489911182-7",1,0.0583333333333333,0.0252100840336134,0,1
"ISSN","0001-2092;; 0001-253X;; 0002-0729",1,0.0920502092050209,0.0334728033472803,0,0
"US NPI (health provider)","1225155880;; 1649397217;; 1578680153",1,0.085,0.085,0,NA
